"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"316424553628848129","","","","","2013-03-26 05:41:07 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","To solve problem, or to die."
"316412548226359296","","","316405198824275968","12819682","2013-03-26 04:53:24 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @mitchellh: Ruby 1.8.7 EOL in 90 days. Vagrant 1.1+ is already 1.9 only. Living in the future. http://t.co/vpvaXbC8gU","http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-dev/47201"
"316030267288584193","","","","","2013-03-25 03:34:21 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Interesting Post - The 11 Phases of a Web Developer’s Career (As Illustrated by Memes) http://t.co/GfUCiUgutP","http://t.cn/zTvGOQT"
"315657640929792002","","","","","2013-03-24 02:53:40 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","拥抱 Rails 4 —— 详述 Rails 4 的新变化 http://t.co/R8J4AWdkwc","http://t.cn/zYsawvj"
"314971738515591168","","","","","2013-03-22 05:28:09 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Guides for getting things done, programming well, and programming in style. http://t.co/zwWDjuDCxS","http://t.cn/zYYqvVo"
"314928465436606464","","","","","2013-03-22 02:36:11 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","The Ruby on Rails Tutorial for Rails 4.0 (beta) - Ruby on Rails Tutorial News http://t.co/fitYxpGDmO","http://t.cn/zYkgQwi"
"314368006434209792","","","","","2013-03-20 13:29:08 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Backbone 1.0 http://t.co/2glsyDArK7","http://ashkenas.com/backbonejs-1.0/?utm_medium=referral&utm_source=pulsenews"
"314349976652234752","","","","","2013-03-20 12:17:29 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","NOSQL Databases Family. http://t.co/zUck1pen5B","http://t.cn/hY0l0"
"314340963986337792","","","","","2013-03-20 11:41:40 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Walked 500 kilometers since last Nov. 29th. http://t.co/Qzd9DNVEyx","http://twitter.com/yorzi/status/314340963986337792/photo/1"
"314198844084731904","","","","","2013-03-20 02:16:56 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Chart.js - Easy, object oriented client side graphs for designers and developers http://t.co/DPdWq2oDyJ","http://t.cn/zYDI8MB"
"313999104348925952","","","","","2013-03-19 13:03:14 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","An Open-Source JavaScript Library for Mobile-Friendly Interactive Maps http://t.co/I5cNnEFgDY","http://leafletjs.com/"
"313856816465465346","","","","","2013-03-19 03:37:50 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Webinar: Schema Design for MongoDB http://t.co/u5lRp6uPWU","http://t.cn/zYeWW8p"
"313834290746122241","","","313670517771091968","14455548","2013-03-19 02:08:20 +0000","web","RT @intridea: Web App Interface Builder Divshot Raises $1.1 Million Seed Round http://t.co/3N9AClwVWC via @techcrunch @mbleigh @intridea","http://techcrunch.com/2013/03/18/web-app-interface-builder-divshot-raises-1-1-million-seed-round/"
"313597843925508096","","","","","2013-03-18 10:28:47 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Capistrano Replacement: Mina - really fast deployer and server automation tool http://t.co/8tcFzK6n64","http://t.cn/zYqPgTY"
"311836621999845376","","","","","2013-03-13 13:50:18 +0000","<a href=""http://chrome.google.com/extensions/detail/aicelmgbddfgmpieedjiggifabdpcnln"" rel=""nofollow"">FaWave</a>","Why You Should Use SVG | CSS-Tricks http://t.co/RmtehWXgTJ","http://t.cn/zYB4xuE"
